,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10,35.0,No,Travel_Rarely,809.0,,,3.0,Medical,1.0,14.0,1.0,Male,84.0,,1.0,Laboratory Technician,2.0,,2426.0,16479.0,0.0,Y,No,13.0,3.0,3.0,80.0,,6.0,5.0,,,4.0,0.0,3.0
11,,No,Travel_Rarely,153.0,Research & Development,15.0,,Life Sciences,1.0,15.0,,Female,49.0,2.0,2.0,,3.0,Single,4193.0,12682.0,0.0,Y,Yes,,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,,0.0,8.0
12,31.0,No,Travel_Rarely,670.0,Research & Development,26.0,,,1.0,16.0,1.0,Male,31.0,3.0,1.0,,3.0,Divorced,2911.0,15170.0,1.0,Y,No,,3.0,4.0,,1.0,5.0,,,5.0,,4.0,
13,34.0,No,,1346.0,Research & Development,19.0,,Medical,1.0,18.0,,,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,2661.0,8758.0,0.0,,No,11.0,3.0,,,1.0,3.0,2.0,,2.0,2.0,1.0,2.0
14,28.0,Yes,Travel_Rarely,103.0,Research & Development,24.0,3.0,Life Sciences,1.0,19.0,3.0,Male,50.0,2.0,1.0,Laboratory Technician,3.0,Single,2028.0,12947.0,,Y,Yes,,3.0,2.0,80.0,0.0,6.0,4.0,,4.0,2.0,0.0,3.0
15,29.0,No,,,Research & Development,,4.0,Life Sciences,,,2.0,Female,,4.0,,Manufacturing Director,1.0,Divorced,9980.0,10195.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,,8.0
16,,No,,334.0,Research & Development,5.0,,Life Sciences,,21.0,1.0,Male,80.0,4.0,1.0,Research Scientist,2.0,Divorced,3298.0,15053.0,0.0,,Yes,12.0,,,,2.0,,5.0,2.0,6.0,2.0,,5.0
17,22.0,No,Non-Travel,1123.0,Research & Development,16.0,,Medical,1.0,22.0,4.0,Male,96.0,4.0,,Laboratory Technician,,Divorced,2935.0,7324.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,,0.0
18,53.0,No,Travel_Rarely,1219.0,Sales,2.0,4.0,Life Sciences,,,1.0,Female,78.0,2.0,4.0,Manager,4.0,,15427.0,22021.0,2.0,Y,No,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,,8.0,3.0,7.0
19,38.0,No,Travel_Rarely,371.0,Research & Development,,3.0,Life Sciences,1.0,24.0,,Male,45.0,3.0,1.0,Research Scientist,4.0,,3944.0,4306.0,5.0,Y,Yes,,3.0,,,0.0,,3.0,3.0,,2.0,1.0,2.0
20,24.0,No,,673.0,Research & Development,11.0,,Other,1.0,,1.0,Female,96.0,4.0,2.0,,3.0,,,,0.0,,No,18.0,3.0,4.0,80.0,1.0,5.0,,2.0,,2.0,1.0,3.0
21,36.0,Yes,Travel_Rarely,1218.0,Sales,,,Life Sciences,1.0,27.0,3.0,Male,82.0,2.0,,,1.0,Single,3407.0,,7.0,Y,,23.0,4.0,2.0,,0.0,,,3.0,5.0,3.0,,3.0
22,34.0,No,Travel_Rarely,419.0,,7.0,4.0,,1.0,28.0,1.0,Female,53.0,,3.0,Research Director,2.0,Single,11994.0,21293.0,0.0,,,11.0,3.0,,,,13.0,4.0,3.0,12.0,6.0,2.0,11.0
23,21.0,No,Travel_Rarely,391.0,Research & Development,15.0,2.0,,,,3.0,Male,96.0,,1.0,,4.0,Single,1232.0,19281.0,1.0,Y,No,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
24,34.0,Yes,Travel_Rarely,699.0,Research & Development,6.0,1.0,Medical,1.0,,2.0,,,3.0,1.0,Research Scientist,1.0,Single,2960.0,17102.0,2.0,Y,No,11.0,3.0,3.0,,0.0,8.0,,3.0,,2.0,1.0,3.0
25,,No,Travel_Rarely,1282.0,Research & Development,,,Other,1.0,32.0,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,19094.0,10735.0,,,No,,,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0
26,32.0,Yes,Travel_Frequently,1125.0,Research & Development,16.0,1.0,,1.0,,2.0,Female,72.0,1.0,1.0,Research Scientist,,Single,3919.0,4681.0,,,Yes,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,,
27,42.0,No,Travel_Rarely,,Sales,8.0,4.0,Marketing,1.0,35.0,3.0,Male,,3.0,,Sales Executive,2.0,,6825.0,21173.0,0.0,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,,,2.0
28,44.0,No,,477.0,Research & Development,7.0,,,1.0,36.0,1.0,Female,42.0,2.0,3.0,Healthcare Representative,4.0,Married,10248.0,2094.0,3.0,Y,No,14.0,,,80.0,1.0,,4.0,3.0,22.0,6.0,5.0,
29,46.0,No,Travel_Rarely,705.0,Sales,2.0,4.0,Marketing,1.0,38.0,2.0,Female,83.0,3.0,5.0,,1.0,Single,18947.0,,3.0,,No,12.0,3.0,,80.0,,,,2.0,2.0,2.0,2.0,1.0
30,,No,Travel_Rarely,924.0,Research & Development,,3.0,,1.0,39.0,,Male,,3.0,1.0,,4.0,Single,2496.0,6670.0,4.0,Y,No,11.0,3.0,4.0,,,7.0,,,1.0,1.0,0.0,0.0
31,44.0,No,Travel_Rarely,,Research & Development,10.0,4.0,,1.0,40.0,4.0,Male,41.0,3.0,2.0,Healthcare Representative,4.0,Married,6465.0,,2.0,Y,Yes,13.0,3.0,4.0,,0.0,9.0,5.0,4.0,4.0,,1.0,3.0
32,30.0,No,Travel_Rarely,125.0,Research & Development,9.0,,Medical,,,4.0,Male,83.0,2.0,1.0,Laboratory Technician,3.0,Single,2206.0,16117.0,1.0,Y,No,13.0,3.0,1.0,80.0,,,5.0,3.0,,0.0,1.0,8.0
33,39.0,Yes,Travel_Rarely,,Sales,5.0,3.0,Technical Degree,1.0,42.0,4.0,Male,56.0,3.0,2.0,,4.0,Married,2086.0,3335.0,3.0,Y,No,14.0,,,80.0,1.0,,6.0,,1.0,0.0,0.0,0.0
34,24.0,Yes,,813.0,Research & Development,1.0,,Medical,1.0,45.0,2.0,,61.0,3.0,1.0,,4.0,Married,2293.0,3020.0,2.0,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,,,2.0,0.0,,
35,,No,Travel_Rarely,1273.0,Research & Development,2.0,,Medical,1.0,46.0,,Female,,4.0,1.0,Research Scientist,3.0,Divorced,2645.0,21923.0,,Y,No,12.0,,4.0,80.0,2.0,6.0,,2.0,5.0,3.0,1.0,
36,50.0,Yes,Travel_Rarely,,Sales,,2.0,Marketing,1.0,47.0,1.0,Male,86.0,2.0,1.0,Sales Representative,3.0,Married,2683.0,3810.0,,Y,,,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,,0.0,2.0
37,35.0,No,Travel_Rarely,890.0,Sales,2.0,3.0,Marketing,1.0,49.0,4.0,Female,97.0,3.0,1.0,Sales Representative,4.0,Married,2014.0,9687.0,,,No,13.0,3.0,1.0,80.0,0.0,2.0,3.0,3.0,,2.0,2.0,
38,,No,Travel_Rarely,852.0,Research & Development,5.0,4.0,,1.0,51.0,2.0,Female,82.0,2.0,1.0,,1.0,Married,3419.0,13072.0,9.0,Y,Yes,,3.0,4.0,80.0,,6.0,3.0,4.0,1.0,1.0,0.0,0.0
39,33.0,No,Travel_Frequently,1141.0,Sales,1.0,3.0,Life Sciences,1.0,,,,42.0,,,Sales Executive,1.0,Married,5376.0,3193.0,2.0,Y,No,19.0,,1.0,80.0,2.0,,3.0,3.0,5.0,3.0,1.0,3.0
40,35.0,No,Travel_Rarely,464.0,Research & Development,,2.0,Other,1.0,53.0,3.0,,,,,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0,Y,No,,3.0,3.0,80.0,1.0,,3.0,3.0,1.0,0.0,0.0,
41,,No,Travel_Rarely,1240.0,,,,Life Sciences,1.0,54.0,4.0,Female,33.0,3.0,1.0,Laboratory Technician,,Divorced,,19715.0,1.0,Y,No,13.0,,4.0,80.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,
42,,Yes,Travel_Rarely,,Research & Development,25.0,3.0,Life Sciences,1.0,,1.0,,48.0,1.0,1.0,Laboratory Technician,3.0,Single,2293.0,10558.0,1.0,,No,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,,0.0,1.0
43,27.0,No,Travel_Frequently,994.0,Sales,8.0,3.0,Life Sciences,1.0,56.0,4.0,Male,37.0,3.0,3.0,,3.0,Single,8726.0,2975.0,,Y,No,,,4.0,,,9.0,0.0,3.0,,8.0,,7.0
44,30.0,No,,721.0,Research & Development,1.0,2.0,,1.0,,3.0,Female,58.0,3.0,,Laboratory Technician,4.0,,4011.0,,1.0,Y,No,,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,,,7.0
45,41.0,Yes,Travel_Rarely,1360.0,Research & Development,12.0,3.0,Technical Degree,1.0,58.0,2.0,Female,,3.0,5.0,Research Director,,Married,19545.0,,,Y,No,12.0,3.0,4.0,80.0,0.0,23.0,0.0,,22.0,15.0,15.0,8.0
46,34.0,No,Non-Travel,1065.0,,23.0,4.0,Marketing,1.0,60.0,2.0,Male,72.0,3.0,2.0,Sales Executive,3.0,Single,4568.0,10034.0,0.0,,,20.0,,,80.0,,10.0,2.0,,9.0,5.0,8.0,7.0
47,37.0,No,,408.0,Research & Development,19.0,2.0,,1.0,,,Male,73.0,3.0,1.0,,2.0,Married,3022.0,10227.0,,,,21.0,4.0,1.0,80.0,,8.0,1.0,3.0,1.0,0.0,0.0,0.0
48,46.0,No,Travel_Frequently,,Sales,5.0,4.0,Marketing,1.0,62.0,1.0,Male,,3.0,2.0,Sales Executive,4.0,Single,,,4.0,Y,Yes,21.0,4.0,3.0,80.0,0.0,14.0,4.0,,9.0,6.0,0.0,8.0
49,35.0,No,,1229.0,Research & Development,8.0,1.0,,1.0,,4.0,,36.0,,1.0,Laboratory Technician,4.0,Married,,4892.0,1.0,Y,,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0
50,48.0,Yes,Travel_Rarely,626.0,,,2.0,Life Sciences,1.0,64.0,1.0,Male,98.0,,3.0,Laboratory Technician,3.0,Single,,19294.0,9.0,,,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0
51,,Yes,,1434.0,Research & Development,5.0,4.0,Technical Degree,1.0,,3.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Single,3441.0,11179.0,,Y,Yes,13.0,3.0,,,0.0,2.0,3.0,2.0,2.0,,2.0,2.0
52,,No,Travel_Rarely,1488.0,Sales,1.0,5.0,Marketing,1.0,68.0,2.0,,75.0,3.0,,,,Divorced,5454.0,4009.0,5.0,Y,Yes,21.0,,,80.0,,,2.0,2.0,,3.0,1.0,3.0
53,,No,Non-Travel,1097.0,Research & Development,11.0,2.0,Medical,,70.0,,Male,79.0,,3.0,Healthcare Representative,1.0,Married,9884.0,,2.0,Y,Yes,,,,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0
54,26.0,No,Travel_Rarely,1443.0,Sales,23.0,3.0,Marketing,1.0,72.0,3.0,Female,47.0,2.0,2.0,Sales Executive,4.0,Married,4157.0,21436.0,,Y,Yes,19.0,3.0,,80.0,1.0,5.0,2.0,2.0,,2.0,0.0,0.0
55,,No,Travel_Frequently,515.0,Research & Development,1.0,2.0,Life Sciences,1.0,73.0,1.0,Female,98.0,3.0,3.0,,4.0,Single,13458.0,15146.0,1.0,Y,,12.0,3.0,3.0,80.0,0.0,15.0,1.0,,15.0,14.0,,12.0
56,35.0,No,Travel_Frequently,853.0,,18.0,5.0,Life Sciences,1.0,74.0,,,71.0,3.0,,Sales Executive,1.0,Married,,11031.0,,Y,No,,,,80.0,1.0,9.0,,2.0,9.0,8.0,1.0,8.0
57,35.0,No,Travel_Rarely,1142.0,Research & Development,23.0,4.0,Medical,,75.0,3.0,,30.0,3.0,1.0,Laboratory Technician,1.0,Married,4014.0,16002.0,3.0,Y,,15.0,,,80.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
58,31.0,No,Travel_Rarely,655.0,,7.0,4.0,,1.0,76.0,4.0,Male,,3.0,2.0,Laboratory Technician,4.0,Divorced,,9528.0,3.0,Y,No,22.0,,4.0,80.0,1.0,,3.0,2.0,7.0,7.0,1.0,7.0
59,37.0,No,Travel_Rarely,1115.0,Research & Development,1.0,4.0,Life Sciences,1.0,77.0,1.0,Male,51.0,2.0,2.0,,3.0,Divorced,5993.0,2689.0,1.0,,No,,3.0,,80.0,1.0,7.0,2.0,4.0,7.0,5.0,,7.0
60,32.0,No,Travel_Rarely,427.0,Research & Development,1.0,3.0,,,78.0,1.0,Male,33.0,,,Manufacturing Director,4.0,Married,,,,Y,Yes,22.0,,,,1.0,,3.0,3.0,9.0,8.0,7.0,8.0
61,,No,Travel_Frequently,653.0,,29.0,5.0,Life Sciences,,79.0,4.0,Female,50.0,,2.0,Laboratory Technician,4.0,Single,2406.0,5456.0,,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0
62,50.0,No,Travel_Rarely,989.0,,,2.0,Medical,1.0,80.0,2.0,Female,43.0,2.0,5.0,Research Director,,Divorced,18740.0,,,Y,Yes,12.0,3.0,,80.0,1.0,29.0,,2.0,27.0,3.0,13.0,8.0
63,59.0,No,Travel_Rarely,1435.0,Sales,25.0,3.0,Life Sciences,,81.0,1.0,Female,99.0,,3.0,,1.0,,,2354.0,7.0,Y,No,11.0,3.0,4.0,,,,3.0,2.0,21.0,16.0,7.0,
64,36.0,No,,1223.0,Research & Development,8.0,3.0,Technical Degree,1.0,83.0,3.0,Female,,3.0,3.0,Healthcare Representative,3.0,Divorced,,8202.0,1.0,Y,No,13.0,3.0,2.0,,3.0,17.0,,3.0,17.0,14.0,,
65,55.0,No,Travel_Rarely,836.0,Research & Development,,3.0,,1.0,84.0,4.0,Female,33.0,3.0,,Manager,3.0,Divorced,,19730.0,2.0,Y,Yes,,3.0,3.0,,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0
66,36.0,No,,1195.0,Research & Development,,3.0,Life Sciences,1.0,,2.0,Male,95.0,2.0,2.0,Manufacturing Director,2.0,Single,6499.0,22656.0,1.0,Y,No,,3.0,,80.0,0.0,6.0,3.0,,,5.0,0.0,3.0
67,,No,Travel_Rarely,1339.0,Research & Development,7.0,3.0,Life Sciences,1.0,86.0,2.0,Male,59.0,3.0,3.0,Research Scientist,,,,,2.0,Y,No,17.0,3.0,3.0,80.0,1.0,,,3.0,,0.0,0.0,
68,,No,Travel_Frequently,,Research & Development,1.0,,,1.0,88.0,,Male,79.0,3.0,1.0,Research Scientist,1.0,Married,2194.0,,4.0,Y,,13.0,3.0,4.0,80.0,1.0,,2.0,2.0,,2.0,1.0,2.0
69,36.0,Yes,,318.0,Research & Development,9.0,3.0,,,,4.0,,79.0,2.0,,Research Scientist,3.0,,,21777.0,0.0,Y,Yes,17.0,3.0,1.0,,1.0,2.0,,2.0,1.0,,0.0,0.0
70,59.0,No,Travel_Frequently,1225.0,Sales,1.0,1.0,Life Sciences,1.0,91.0,1.0,Female,57.0,2.0,,Sales Executive,,Single,5473.0,24668.0,7.0,Y,No,11.0,3.0,,80.0,,20.0,2.0,2.0,4.0,3.0,1.0,3.0
71,29.0,No,Travel_Rarely,1328.0,Research & Development,2.0,3.0,Life Sciences,1.0,,3.0,Male,,3.0,1.0,Research Scientist,2.0,Married,,,0.0,Y,No,23.0,4.0,,80.0,1.0,6.0,,3.0,5.0,,,4.0
72,31.0,No,Travel_Rarely,1082.0,Research & Development,1.0,4.0,Medical,1.0,95.0,3.0,Male,87.0,3.0,1.0,Research Scientist,2.0,Single,2501.0,,1.0,,No,17.0,3.0,2.0,80.0,,1.0,4.0,3.0,1.0,1.0,1.0,
73,32.0,No,Travel_Rarely,548.0,Research & Development,1.0,3.0,,1.0,96.0,,,66.0,3.0,2.0,Research Scientist,2.0,,6220.0,,1.0,Y,No,17.0,,2.0,80.0,,10.0,,3.0,10.0,4.0,0.0,9.0
74,36.0,No,Travel_Rarely,132.0,Research & Development,6.0,3.0,Life Sciences,1.0,97.0,2.0,Female,,4.0,1.0,Laboratory Technician,4.0,Married,,22002.0,3.0,Y,No,,3.0,,,0.0,5.0,3.0,3.0,,0.0,0.0,0.0
75,31.0,No,Travel_Rarely,746.0,Research & Development,8.0,4.0,Life Sciences,1.0,98.0,3.0,Female,61.0,3.0,2.0,Manufacturing Director,4.0,,4424.0,20682.0,,,No,23.0,4.0,4.0,,0.0,11.0,2.0,3.0,11.0,7.0,1.0,8.0
76,,No,Travel_Rarely,776.0,,,4.0,,,100.0,3.0,Male,32.0,2.0,,,,Single,4312.0,23016.0,,,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,,13.0,2.0,
77,45.0,No,Travel_Rarely,193.0,Research & Development,6.0,4.0,,1.0,101.0,,,52.0,,3.0,Research Director,1.0,Married,13245.0,15067.0,4.0,Y,Yes,14.0,3.0,2.0,,0.0,17.0,3.0,4.0,,0.0,0.0,0.0
78,37.0,No,Travel_Rarely,397.0,Research & Development,7.0,4.0,Medical,,102.0,1.0,Male,30.0,,3.0,Research Director,,,13664.0,25258.0,4.0,,No,13.0,3.0,1.0,80.0,,16.0,,,5.0,2.0,0.0,2.0
79,46.0,No,Travel_Rarely,,Human Resources,5.0,2.0,Medical,1.0,,,Male,80.0,3.0,2.0,Human Resources,2.0,Divorced,,,,Y,Yes,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0
80,30.0,No,Travel_Rarely,852.0,Research & Development,1.0,1.0,,1.0,104.0,4.0,Male,55.0,2.0,,,4.0,Married,,15998.0,1.0,Y,Yes,12.0,3.0,3.0,,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0
81,35.0,No,,1214.0,Research & Development,1.0,,Medical,1.0,,2.0,Male,30.0,2.0,1.0,Research Scientist,3.0,Single,2859.0,,1.0,Y,No,18.0,,1.0,,0.0,,,3.0,6.0,,0.0,
82,55.0,No,,111.0,,,2.0,,1.0,,1.0,Male,70.0,,3.0,Sales Executive,4.0,Married,10239.0,18092.0,3.0,Y,,14.0,3.0,4.0,,1.0,24.0,4.0,3.0,1.0,,1.0,0.0
83,38.0,No,Non-Travel,,Research & Development,6.0,3.0,Medical,1.0,107.0,2.0,,,1.0,2.0,Research Scientist,4.0,,5329.0,15717.0,7.0,Y,Yes,,,4.0,80.0,,17.0,3.0,,13.0,11.0,,9.0
84,34.0,No,,1153.0,Research & Development,1.0,2.0,Medical,1.0,110.0,1.0,,94.0,,2.0,Manufacturing Director,2.0,Married,,,1.0,Y,No,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,,2.0,1.0,3.0
85,56.0,No,Travel_Rarely,1400.0,,7.0,,Life Sciences,,112.0,4.0,,49.0,,3.0,Manufacturing Director,4.0,,7260.0,21698.0,4.0,,,,3.0,1.0,80.0,0.0,,3.0,2.0,6.0,,0.0,2.0
86,23.0,No,Travel_Rarely,541.0,Sales,2.0,1.0,Technical Degree,1.0,113.0,,Male,62.0,3.0,1.0,,,,2322.0,,3.0,Y,No,,,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0
87,,No,Travel_Rarely,432.0,Research & Development,,4.0,Life Sciences,1.0,116.0,4.0,Male,96.0,3.0,,Laboratory Technician,4.0,Married,2075.0,18725.0,3.0,Y,No,23.0,4.0,2.0,80.0,,,4.0,,4.0,2.0,0.0,3.0
88,30.0,No,Travel_Rarely,288.0,Research & Development,2.0,3.0,,1.0,,3.0,Male,99.0,,,,,,,15830.0,1.0,Y,No,19.0,3.0,1.0,80.0,3.0,11.0,,,,10.0,10.0,8.0
89,,Yes,Travel_Rarely,669.0,Sales,9.0,2.0,,1.0,118.0,3.0,,,2.0,3.0,Sales Executive,4.0,Single,9619.0,,1.0,Y,No,16.0,3.0,4.0,80.0,,,3.0,3.0,9.0,8.0,4.0,7.0
90,40.0,No,Travel_Frequently,530.0,,,4.0,Life Sciences,1.0,119.0,3.0,,78.0,2.0,4.0,Healthcare Representative,,,13503.0,14115.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,22.0,3.0,2.0,22.0,3.0,11.0,11.0
91,,No,Travel_Rarely,632.0,Sales,21.0,4.0,Marketing,,120.0,3.0,Male,71.0,3.0,2.0,Sales Executive,4.0,Single,5441.0,8423.0,0.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,11.0,2.0,1.0,,7.0,1.0,0.0
92,30.0,No,,,Sales,4.0,2.0,Medical,,121.0,3.0,Female,63.0,2.0,2.0,,,Divorced,5209.0,19760.0,1.0,Y,,12.0,3.0,,80.0,3.0,,4.0,2.0,11.0,8.0,2.0,7.0
93,46.0,No,Travel_Frequently,638.0,Research & Development,1.0,3.0,,1.0,124.0,3.0,Male,,2.0,3.0,Healthcare Representative,1.0,,,3142.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,,
94,32.0,No,Travel_Rarely,,Sales,6.0,4.0,Medical,,,2.0,Male,87.0,3.0,2.0,,3.0,Single,5010.0,24301.0,1.0,Y,,16.0,3.0,1.0,80.0,,12.0,,3.0,11.0,8.0,5.0,
95,54.0,No,Travel_Rarely,1217.0,Research & Development,2.0,4.0,Technical Degree,1.0,,1.0,Female,60.0,3.0,,Research Director,3.0,Married,,24001.0,9.0,Y,No,12.0,,1.0,80.0,1.0,16.0,5.0,1.0,4.0,3.0,0.0,3.0
96,,No,Travel_Rarely,1353.0,Sales,3.0,2.0,Other,1.0,128.0,1.0,Female,33.0,,2.0,,3.0,Married,4999.0,,0.0,Y,No,21.0,4.0,1.0,80.0,1.0,4.0,,,3.0,2.0,0.0,2.0
97,28.0,No,Non-Travel,120.0,Sales,4.0,,Medical,1.0,129.0,,Male,43.0,3.0,2.0,,3.0,Married,4221.0,8863.0,1.0,Y,No,15.0,,2.0,,0.0,5.0,3.0,4.0,5.0,,0.0,4.0
98,58.0,No,Travel_Rarely,,,,4.0,Medical,,,4.0,Male,37.0,3.0,4.0,Sales Executive,3.0,Single,13872.0,24409.0,0.0,Y,No,13.0,3.0,3.0,80.0,0.0,,1.0,,37.0,10.0,1.0,8.0
99,,No,Non-Travel,489.0,Research & Development,23.0,3.0,,1.0,,2.0,Male,67.0,3.0,,Laboratory Technician,2.0,Married,,25043.0,,,No,,3.0,3.0,80.0,,17.0,,4.0,3.0,2.0,,2.0
100,37.0,Yes,Travel_Rarely,807.0,Human Resources,6.0,4.0,Human Resources,1.0,133.0,,Male,63.0,,,Human Resources,,Divorced,,23648.0,4.0,Y,Yes,,,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,0.0,2.0
101,,No,,,Research & Development,1.0,1.0,Life Sciences,1.0,134.0,,Male,71.0,3.0,1.0,Research Scientist,,Single,2956.0,15178.0,1.0,Y,No,13.0,3.0,4.0,80.0,0.0,,2.0,3.0,1.0,0.0,0.0,0.0
102,20.0,Yes,Travel_Frequently,871.0,Research & Development,,3.0,,,137.0,4.0,Female,66.0,2.0,,Laboratory Technician,4.0,Single,2926.0,19783.0,1.0,,Yes,,,2.0,80.0,0.0,1.0,,,1.0,,1.0,
103,34.0,No,Travel_Rarely,665.0,Research & Development,6.0,4.0,,1.0,,,,,3.0,2.0,,3.0,Single,4809.0,12482.0,1.0,Y,,,3.0,3.0,,0.0,16.0,3.0,3.0,16.0,13.0,2.0,10.0
104,37.0,No,Non-Travel,1040.0,,2.0,2.0,Life Sciences,1.0,,3.0,Male,100.0,2.0,2.0,Healthcare Representative,,,5163.0,15850.0,,Y,No,,3.0,4.0,80.0,,17.0,2.0,4.0,1.0,,0.0,0.0
105,,No,,,Human Resources,2.0,4.0,Human Resources,,140.0,3.0,Female,,2.0,5.0,Manager,,Married,18844.0,21922.0,9.0,,No,,4.0,4.0,80.0,1.0,30.0,3.0,,3.0,2.0,2.0,2.0
